BOFEK2020,HELP
1001,3
1002,2
1003,1
1004,3
1005,6
1006,1
1007,6
1008,4
1009,5
1010,1
1011,6
1012,4
1013,1
1014,5
1015,4
1016,4
1017,3
1018,4
2001,12
2002,13
2003,8
2004,11
2005,11
2006,9
2007,9
3001,35
3002,56
3003,71
3004,59
3005,48
3006,60
3007,62
3008,72
3009,72
3010,55
3011,56
3012,47
3013,47
3014,58
3015,58
3016,71
3017,41
3018,48
3019,35
3020,72
3021,40
3022,56
3023,56
4001,24
4002,18
4003,30
4004,28
4005,30
4006,16
4007,25
4008,25
4009,20
4010,25
4011,28
4012,22
4013,69
4014,30
4015,18
4016,30
4017,69
4018,28
4019,28
4020,30
4021,25
4022,20
4023,28
4024,20
5001,69
5002,69
5003,69
5004,67
5005,67
5006,67
5007,68
