BOFEK2012,HELP
101,3
102,3
103,2
104,2
105,4
106,5
107,1
108,1
109,6
110,6
201,8
202,11
203,9
204,13
205,12
206,12
301,58
302,35
303,56
304,58
305,71
306,72
307,56
308,56
309,39
310,62
311,47
312,59
313,40
314,72
315,72
316,56
317,48
318,48
319,63
320,71
321,55
322,49
323,35
324,35
325,56
326,37
327,47
401,19
402,16
403,18
404,18
405,18
406,28
407,28
408,20
409,69
410,20
411,70
412,22
413,24
414,26
415,25
416,28
417,28
418,28
419,30
420,30
421,30
422,25
501,69
502,69
503,69
504,67
505,67
506,67
507,68
