ID,ABGN,EENHEID,KLEUR
1,1010_G,hVb,hVb
2,1020_G,ohVb,hVb
3,1030_G,hVs,hVs
4,1040_G,hVsc,hVs
5,1050_G,hVc,hVc
6,1060_G,hVk,hVk
7,1070_G,hVz,hVz
8,1071_G,hVzc,hVz
9,1072_G,hVzx,hVz
10,1080_G,aVc,aVc
11,1090_G,faVc,aVc
12,1100_G,aVz,aVz
13,1110_G,faVz,aVz
14,1111_G,faVzt,aVz
15,1120_G,aVp,aVp
16,1130_G,pVb,pVb
17,1140_G,opVb,pVb
18,1150_G,pVs,pVs
19,1160_G,opVc,pVc
20,1170_G,pVc,pVc
21,1180_G,pVz,pVz
22,1190_G,kVb,kVb
23,1200_G,kVs,kVs
24,1210_G,kVsc,kVs
25,1220_G,kVc,kVc
26,1225_G,kVc,kVc
27,1230_G,kVz,kVz
28,1235_G,kVz,kVz
29,1240_G,kVk,kVk
30,1250_G,zVz,zVz
31,1255_G,zVz,zVz
32,1260_G,zVc,zVc
33,1265_G,zVc,zVc
34,1270_G,zVp,zVp
35,1275_G,AVk,AVk
36,1281_G,Vs,Vs
37,1282_G,Vs,Vs
38,1290_G,Vc,Vc
39,1300_G,dVk,Vk
40,1310_G,Vz,Vz
41,1320_G,Vp,Vp
42,1330_A,iVc,iVc
43,1340_A,iVz,iVz
44,1350_A,iVp,iVp
45,2010_G,kWp,kWp
46,2015_G,kWp,kWp
47,2020_G,vWp ,vWp
48,2030_G,vWpx,vWp
49,2040_G,zWp,zWp
50,2050_G,zWpx,zWp
51,2060_A,iWp,iWp
52,2070_A,iWpx,iWp
53,2080_G,Wo,Wo
54,2081_G,Wgl,Wg
55,2090_G,Wol,Wo
56,2110_G,kWz,kWz
57,2115_G,kWz,kWz
58,2120_G,zWz,zWz
59,2121_G,zWzx,zWz
60,2125_G,zWz,zWz
61,2130_G,vWz,vWz
62,2131_G,vWzg,vWz
63,2140_G,vWzx,vWz
64,2150_G,fvWz,vWz
65,2151_G,fvWzt,vWz
66,2160_A,iWz,iWz
67,3010_A,Y21,Y21
68,3010_B,Y21,Y21
69,3011_B,Y21g,Y21
70,3020_A,Y23,Y23
71,3020_B,Y23,Y23
72,3030_B,gY30,Y30
73,3040_A,cY21,cY21
74,3050_A,cY23,cY23
75,3060_A,cY23x,cY23
76,3070_A,gcY30,cY30
77,4010_A,Hn21,Hn21
78,4010_B,Hn21,Hn21
79,4010_G,Hn21,Hn21
80,4015_A,uHn21,Hn21
81,4020_B,Hn21g,Hn21
82,4020_G,Hn21g,Hn21
83,4030_G,Hn21x,Hn21
84,4031_G,Hn21t,Hn21
85,4040_G,kHn21,Hn21
86,4041_G,kHn21x,Hn21
87,4045_G,kHn21,Hn21
88,4050_A,Hn23,Hn23
89,4050_B,Hn23,Hn23
90,4050_G,Hn23,Hn23
91,4060_G,Hn23g,Hn23
92,4070_G,Hn23x,Hn23
93,4071_G,Hn23t,Hn23
94,4080_B,Hn30,Hn30
95,4080_G,Hn30,Hn30
96,4090_A,cHn21,cHn21
97,4090_G,cHn21,cHn21
98,4100_A,cHn21g,cHn21
99,4110_A,cHn21x,cHn21
100,4111_A,cHn21t,cHn21
101,4120_A,cHn23,cHn23
102,4120_G,cHn23,cHn23
103,4121_A,cHn23g,cHn23
104,4130_G,cHn23x,cHn23
105,4131_G,cHn23t,cHn23
106,4140_B,Hd21,Hd21
107,4150_B,Hd21g,Hd21
108,4160_B,gHd30,Hd30
109,4170_A,cHd21,cHd21
110,5010_A,BLd5,BLd5
111,5011_A,BLd5g,BLd5
112,5020_A,BLd6,BLd6
113,5030_A,BLb6,BLb6
114,5040_A,BKd25,BKd25
115,8010_G,EZg21,EZg21
116,8012_G,EZg21w,EZg21
117,8016_G,EZg21,EZg21
118,8020_G,EZg23,EZg23
119,8021_G,EZg23g,EZg23
120,8022_G,EZg23w,EZg23
121,8030_A,bEZ21,bEZ21
122,8040_A,bEZ23,bEZ23
123,8040_G,bEZ23,bEZ23
124,8041_G,bEZ23t,bEZ23
125,8050_A,bEZ30,bEZ30
126,8060_A,zEZ21,zEZ21
127,8060_G,zEZ21,zEZ21
128,8061_G,zEZ21t,zEZ21
129,8070_A,zEZ21g,zEZ21
130,8090_A,zEZ23,zEZ23
131,8090_G,zEZ23,zEZ23
132,8091_G,zEZ23g,zEZ23
133,8100_A,zEZ23x,zEZ23
134,8100_G,zEZ23x,zEZ23
135,8101_G,zEZ23t,zEZ23
136,8110_A,zEZ30g,zEZ30
137,8120_A,EZ50A,EZ50A
138,9010_A,EK19,EK19
139,9020_A,EL5,EL5
140,10010_G,pZg21,pZg21
141,10012_G,pZg21g,pZg21
142,10013_G,pZg21x,pZg21
143,10014_G,pZg21w,pZg21
144,10016_G,pZg21,pZg21
145,10020_G,kpZg21,pZg21
146,10030_A,pZg23,pZg23
147,10030_B,pZg23,pZg23
148,10030_G,pZg23,pZg23
149,10040_G,pZg23g,pZg23
150,10060_G,pZg23x,pZg23
151,10061_G,pZg23t,pZg23
152,10070_G,fpZg23,pZg23
